天气之子 category: 爱情／动画／奇幻 online_time: 2019-11-01 link: https://maoyan.com/films/1250952
误杀 category: 剧情／犯罪 online_time: 2019-12-13 link: https://maoyan.com/films/1218273
少年的你 category: 爱情／青春／剧情 online_time: 2019-10-25 link: https://maoyan.com/films/1218029
哪吒之魔童降世 category: 动画／喜剧／奇幻 online_time: 2019-07-26 link: https://maoyan.com/films/1211270
唐人街探案2 category: 喜剧／动作／悬疑 online_time: 2018-02-16 link: https://maoyan.com/films/344990
None category: 歌舞 online_time: 2019-03-30 link: https://maoyan.com/films/1278457
战狼2 category: 动作／战争 online_time: 2017-07-27 link: https://maoyan.com/films/344264
None category: 动作／科幻／惊悚／恐怖 online_time: 2020-06-25 link: https://maoyan.com/films/1251639
哥斯拉2：怪兽之王 category: 科幻／灾难／动作 online_time: 2019-05-31 link: https://maoyan.com/films/246061
None category: 剧情／动画／奇幻 online_time: 2020-03-28 link: https://maoyan.com/films/456826
恐怖电影院2 category: 恐怖／惊悚 online_time: 2017-10-20 link: https://maoyan.com/films/343355
